"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2012-01-23,2.3690,
2012-01-24,2.3767,
2012-01-25,2.3660,
2012-01-26,2.3580,
2012-01-27,2.3389,
2012-01-28,.,No value available
2012-01-29,.,No value available
2012-01-30,2.3478,
2012-01-31,2.3330,
2012-02-01,2.3232,
2012-02-02,2.3140,
2012-02-03,2.3112,
2012-02-04,.,No value available
2012-02-05,.,No value available
2012-02-06,2.3017,
2012-02-07,2.3076,
2012-02-08,2.3191,
2012-02-09,2.3331,
2012-02-10,2.3305,
2012-02-11,.,No value available
2012-02-12,.,No value available
2012-02-13,2.3312,
2012-02-14,2.3307,
2012-02-15,2.3101,
2012-02-16,2.3048,
2012-02-17,2.3094,
2012-02-18,.,No value available
2012-02-19,.,No value available
2012-02-20,2.3094,
2012-02-21,2.3182,
2012-02-22,2.3173,
2012-02-23,2.3460,
2012-02-24,2.3639,
2012-02-25,.,No value available
2012-02-26,.,No value available
2012-02-27,2.3697,
2012-02-28,2.3580,
2012-02-29,2.3450,
2012-03-01,2.3343,
2012-03-02,2.3277,
2012-03-03,.,No value available
2012-03-04,.,No value available
2012-03-05,2.3355,
2012-03-06,2.3485,
2012-03-07,2.3459,
2012-03-08,2.3514,
2012-03-09,2.3493,
2012-03-10,.,No value available
2012-03-11,.,No value available
2012-03-12,2.3585,
2012-03-13,2.3450,
2012-03-14,2.3459,
2012-03-15,2.3555,
2012-03-16,2.3583,
2012-03-17,.,No value available
2012-03-18,.,No value available
2012-03-19,2.3801,
2012-03-20,2.4000,
2012-03-21,2.3989,
2012-03-22,2.3890,
2012-03-23,2.3862,
2012-03-24,.,No value available
2012-03-25,.,No value available
